"","job","education","age","day_of_week","euribor3m","marital","nr.employed","month"
"412","technician","basic.4y",55,"tue",4.857,"married",5191,"may"
"416","blue-collar","basic.4y",51,"tue",4.857,"married",5191,"may"
"417","self-employed","basic.9y",39,"tue",4.857,"single",5191,"may"
"418","admin.","high.school",47,"tue",4.857,"married",5191,"may"
"420","technician","university.degree",34,"tue",4.857,"single",5191,"may"
"423","blue-collar","basic.4y",49,"tue",4.857,"married",5191,"may"
"427","management","basic.6y",58,"tue",4.857,"married",5191,"may"
"452","student","basic.9y",28,"tue",4.857,"single",5191,"may"
"454","admin.","university.degree",48,"tue",4.857,"married",5191,"may"
"456","admin.","high.school",40,"tue",4.857,"married",5191,"may"
"459","housemaid","basic.4y",54,"tue",4.857,"married",5191,"may"
"460","blue-collar","basic.6y",40,"tue",4.857,"married",5191,"may"
"470","management","university.degree",42,"tue",4.857,"married",5191,"may"
"475","blue-collar","basic.4y",57,"tue",4.857,"divorced",5191,"may"
"476","blue-collar","basic.9y",44,"tue",4.857,"married",5191,"may"
"478","blue-collar","basic.4y",39,"tue",4.857,"married",5191,"may"
"484","unknown","unknown",49,"tue",4.857,"married",5191,"may"
"485","management","basic.6y",54,"tue",4.857,"married",5191,"may"
"486","admin.","university.degree",36,"tue",4.857,"married",5191,"may"
"487","admin.","university.degree",32,"tue",4.857,"single",5191,"may"
"489","housemaid","professional.course",45,"tue",4.857,"married",5191,"may"
"490","technician","unknown",56,"tue",4.857,"married",5191,"may"
"498","admin.","university.degree",35,"tue",4.857,"divorced",5191,"may"
"501","entrepreneur","university.degree",56,"tue",4.857,"married",5191,"may"
"503","admin.","basic.9y",33,"tue",4.857,"married",5191,"may"
"504","services","high.school",51,"tue",4.857,"divorced",5191,"may"
"511","blue-collar","basic.4y",48,"tue",4.857,"married",5191,"may"
"512","entrepreneur","high.school",43,"tue",4.857,"married",5191,"may"
"519","blue-collar","unknown",42,"tue",4.857,"married",5191,"may"
"524","blue-collar","basic.6y",39,"tue",4.857,"married",5191,"may"
"525","admin.","high.school",38,"tue",4.857,"married",5191,"may"
"528","admin.","high.school",38,"tue",4.857,"divorced",5191,"may"
"538","blue-collar","basic.4y",33,"tue",4.857,"single",5191,"may"
"539","admin.","basic.6y",38,"tue",4.857,"single",5191,"may"
"544","entrepreneur","university.degree",32,"tue",4.857,"single",5191,"may"
"545","self-employed","high.school",30,"tue",4.857,"single",5191,"may"
"558","technician","basic.4y",40,"tue",4.857,"married",5191,"may"
"562","blue-collar","basic.6y",39,"tue",4.857,"married",5191,"may"
"569","admin.","university.degree",23,"tue",4.857,"single",5191,"may"
"570","unemployed","university.degree",43,"tue",4.857,"married",5191,"may"
"573","blue-collar","basic.9y",51,"tue",4.857,"married",5191,"may"
"575","housemaid","high.school",45,"tue",4.857,"married",5191,"may"
"579","management","university.degree",46,"tue",4.857,"married",5191,"may"
"580","blue-collar","unknown",37,"tue",4.857,"married",5191,"may"
"587","management","university.degree",41,"tue",4.857,"married",5191,"may"
"590","blue-collar","basic.6y",54,"tue",4.857,"married",5191,"may"
"596","technician","professional.course",57,"tue",4.857,"married",5191,"may"
"597","technician","basic.9y",42,"tue",4.857,"married",5191,"may"
"608","blue-collar","basic.4y",53,"tue",4.857,"married",5191,"may"
"618","blue-collar","basic.4y",52,"tue",4.857,"married",5191,"may"
"619","technician","professional.course",37,"tue",4.857,"married",5191,"may"
"621","admin.","university.degree",46,"tue",4.857,"divorced",5191,"may"
"623","technician","professional.course",35,"tue",4.857,"married",5191,"may"
"626","blue-collar","basic.9y",46,"tue",4.857,"married",5191,"may"
"630","technician","professional.course",40,"tue",4.857,"married",5191,"may"
"631","technician","university.degree",34,"tue",4.857,"married",5191,"may"
"637","admin.","university.degree",36,"tue",4.857,"married",5191,"may"
"638","admin.","university.degree",32,"tue",4.857,"single",5191,"may"
"644","retired","high.school",54,"tue",4.857,"married",5191,"may"
"647","housemaid","university.degree",33,"tue",4.857,"divorced",5191,"may"
"661","retired","basic.4y",59,"tue",4.857,"divorced",5191,"may"
"674","admin.","high.school",46,"tue",4.857,"married",5191,"may"
"675","services","high.school",45,"tue",4.857,"married",5191,"may"
"680","management","university.degree",39,"tue",4.857,"divorced",5191,"may"
"681","technician","basic.4y",48,"tue",4.857,"married",5191,"may"
"691","admin.","university.degree",40,"tue",4.857,"divorced",5191,"may"
"694","blue-collar","basic.4y",52,"tue",4.857,"married",5191,"may"
"697","blue-collar","basic.4y",42,"tue",4.857,"married",5191,"may"
"703","self-employed","basic.9y",38,"tue",4.857,"divorced",5191,"may"
"731","admin.","unknown",47,"tue",4.857,"single",5191,"may"
"732","blue-collar","professional.course",48,"tue",4.857,"married",5191,"may"
"733","admin.","high.school",31,"tue",4.857,"single",5191,"may"
"737","retired","basic.4y",56,"tue",4.857,"married",5191,"may"
"738","admin.","high.school",49,"tue",4.857,"married",5191,"may"
"739","unemployed","university.degree",47,"tue",4.857,"divorced",5191,"may"
"746","blue-collar","basic.6y",39,"tue",4.857,"divorced",5191,"may"
"751","services","basic.9y",30,"tue",4.857,"divorced",5191,"may"
"752","blue-collar","basic.4y",36,"tue",4.857,"married",5191,"may"
"761","blue-collar","basic.4y",46,"wed",4.856,"married",5191,"may"
"779","admin.","high.school",32,"wed",4.856,"married",5191,"may"
"782","services","high.school",30,"wed",4.856,"married",5191,"may"
"791","blue-collar","basic.9y",33,"wed",4.856,"single",5191,"may"
"808","entrepreneur","university.degree",56,"wed",4.856,"married",5191,"may"
"809","admin.","high.school",26,"wed",4.856,"single",5191,"may"
"813","blue-collar","high.school",43,"wed",4.856,"married",5191,"may"
"815","blue-collar","high.school",52,"wed",4.856,"single",5191,"may"
"817","technician","unknown",44,"wed",4.856,"single",5191,"may"
"818","housemaid","basic.4y",36,"wed",4.856,"married",5191,"may"
"822","admin.","university.degree",31,"wed",4.856,"married",5191,"may"
"842","technician","professional.course",38,"wed",4.856,"married",5191,"may"
"843","entrepreneur","basic.9y",50,"wed",4.856,"married",5191,"may"
"853","services","basic.6y",31,"wed",4.856,"married",5191,"may"
"856","admin.","university.degree",38,"wed",4.856,"married",5191,"may"
"861","management","university.degree",40,"wed",4.856,"married",5191,"may"
"866","blue-collar","high.school",33,"wed",4.856,"married",5191,"may"
"873","blue-collar","high.school",40,"wed",4.856,"married",5191,"may"
"875","technician","university.degree",43,"wed",4.856,"single",5191,"may"
"882","blue-collar","basic.9y",27,"wed",4.856,"married",5191,"may"
"886","unknown","high.school",43,"wed",4.856,"married",5191,"may"
"891","services","unknown",38,"wed",4.856,"single",5191,"may"
"892","blue-collar","basic.6y",39,"wed",4.856,"married",5191,"may"
"897","blue-collar","basic.9y",33,"wed",4.856,"married",5191,"may"
"898","blue-collar","basic.6y",37,"wed",4.856,"married",5191,"may"
"915","blue-collar","basic.9y",28,"wed",4.856,"married",5191,"may"
"918","retired","basic.9y",48,"wed",4.856,"married",5191,"may"
"920","services","high.school",32,"wed",4.856,"single",5191,"may"
"922","entrepreneur","basic.9y",48,"wed",4.856,"married",5191,"may"
"926","technician","university.degree",38,"wed",4.856,"single",5191,"may"
"927","technician","high.school",53,"wed",4.856,"married",5191,"may"
"938","management","university.degree",48,"wed",4.856,"divorced",5191,"may"
"939","admin.","university.degree",32,"wed",4.856,"single",5191,"may"
"941","technician","university.degree",49,"wed",4.856,"single",5191,"may"
"947","blue-collar","basic.9y",51,"wed",4.856,"married",5191,"may"
"949","technician","high.school",52,"wed",4.856,"married",5191,"may"
"952","technician","unknown",35,"wed",4.856,"divorced",5191,"may"
"958","blue-collar","basic.4y",43,"wed",4.856,"married",5191,"may"
"959","blue-collar","basic.9y",38,"wed",4.856,"single",5191,"may"
"966","services","unknown",47,"wed",4.856,"married",5191,"may"
"967","admin.","university.degree",44,"wed",4.856,"married",5191,"may"
"969","unemployed","professional.course",38,"wed",4.856,"divorced",5191,"may"
"970","admin.","university.degree",33,"wed",4.856,"married",5191,"may"
"979","blue-collar","high.school",48,"wed",4.856,"married",5191,"may"
"981","admin.","university.degree",35,"wed",4.856,"single",5191,"may"
"982","blue-collar","basic.4y",55,"wed",4.856,"married",5191,"may"
"983","entrepreneur","university.degree",45,"wed",4.856,"single",5191,"may"
"985","blue-collar","basic.6y",34,"wed",4.856,"married",5191,"may"
"988","unemployed","professional.course",51,"wed",4.856,"married",5191,"may"
"991","services","high.school",45,"wed",4.856,"married",5191,"may"
"993","blue-collar","basic.9y",39,"wed",4.856,"married",5191,"may"
"995","services","basic.9y",39,"wed",4.856,"married",5191,"may"
"999","technician","basic.9y",57,"wed",4.856,"married",5191,"may"
"1000","services","unknown",30,"wed",4.856,"married",5191,"may"
"1005","admin.","university.degree",47,"wed",4.856,"married",5191,"may"
"1007","blue-collar","basic.9y",44,"wed",4.856,"married",5191,"may"
"1008","services","high.school",45,"wed",4.856,"married",5191,"may"
"1014","entrepreneur","university.degree",51,"wed",4.856,"married",5191,"may"
"1021","admin.","basic.4y",35,"wed",4.856,"single",5191,"may"
"1022","technician","professional.course",44,"wed",4.856,"married",5191,"may"
"1026","technician","professional.course",44,"wed",4.856,"married",5191,"may"
"1036","services","professional.course",30,"wed",4.856,"married",5191,"may"
"1044","technician","university.degree",41,"wed",4.856,"single",5191,"may"
"1048","management","university.degree",48,"wed",4.856,"married",5191,"may"
"1056","admin.","basic.4y",35,"wed",4.856,"single",5191,"may"
"1062","management","basic.4y",32,"wed",4.856,"divorced",5191,"may"
"1068","blue-collar","basic.4y",42,"wed",4.856,"married",5191,"may"
"1069","blue-collar","basic.6y",35,"wed",4.856,"married",5191,"may"
"1076","admin.","university.degree",31,"wed",4.856,"married",5191,"may"
"1078","admin.","university.degree",29,"wed",4.856,"single",5191,"may"
"1087","retired","basic.4y",53,"wed",4.856,"married",5191,"may"
"1097","technician","professional.course",45,"wed",4.856,"married",5191,"may"
"1099","services","high.school",42,"wed",4.856,"married",5191,"may"
"1103","entrepreneur","high.school",39,"wed",4.856,"married",5191,"may"
"1108","management","university.degree",34,"wed",4.856,"married",5191,"may"
"1117","services","high.school",29,"wed",4.856,"married",5191,"may"
"1120","admin.","university.degree",35,"wed",4.856,"married",5191,"may"
"1125","technician","professional.course",49,"wed",4.856,"married",5191,"may"
"1126","management","high.school",37,"wed",4.856,"married",5191,"may"
"1130","blue-collar","basic.9y",45,"wed",4.856,"married",5191,"may"
"1138","blue-collar","basic.6y",35,"wed",4.856,"married",5191,"may"
"1147","admin.","high.school",43,"thu",4.855,"divorced",5191,"may"
"1150","retired","university.degree",59,"thu",4.855,"married",5191,"may"
"1160","services","professional.course",25,"thu",4.855,"married",5191,"may"
"1189","admin.","high.school",32,"thu",4.855,"married",5191,"may"
"1191","housemaid","basic.4y",49,"thu",4.855,"married",5191,"may"
"1194","admin.","university.degree",38,"thu",4.855,"single",5191,"may"
"1210","admin.","university.degree",34,"thu",4.855,"married",5191,"may"
"1222","housemaid","high.school",30,"thu",4.855,"married",5191,"may"
"1224","housemaid","high.school",30,"thu",4.855,"married",5191,"may"
"1225","entrepreneur","basic.9y",50,"thu",4.855,"married",5191,"may"
"1226","blue-collar","basic.6y",36,"thu",4.855,"married",5191,"may"
"1227","unemployed","university.degree",29,"thu",4.855,"single",5191,"may"
"1230","unknown","basic.4y",35,"thu",4.855,"single",5191,"may"
"1232","technician","professional.course",49,"thu",4.855,"married",5191,"may"
"1238","blue-collar","basic.9y",41,"thu",4.855,"married",5191,"may"
"1248","technician","professional.course",50,"thu",4.855,"married",5191,"may"
"1250","blue-collar","basic.4y",43,"thu",4.855,"married",5191,"may"
"1253","admin.","professional.course",40,"thu",4.855,"divorced",5191,"may"
"1256","blue-collar","basic.4y",43,"thu",4.855,"married",5191,"may"
"1262","housemaid","basic.4y",52,"thu",4.855,"married",5191,"may"
"1266","blue-collar","basic.6y",39,"thu",4.855,"married",5191,"may"
"1268","admin.","university.degree",36,"thu",4.855,"divorced",5191,"may"
"1272","unknown","basic.9y",35,"thu",4.855,"married",5191,"may"
"1280","technician","high.school",44,"thu",4.855,"divorced",5191,"may"
"1284","blue-collar","basic.4y",51,"thu",4.855,"married",5191,"may"
"1288","services","basic.9y",45,"thu",4.855,"married",5191,"may"
"1291","services","unknown",28,"thu",4.855,"single",5191,"may"
"1292","blue-collar","basic.4y",45,"thu",4.855,"married",5191,"may"
"1295","services","basic.6y",36,"thu",4.855,"married",5191,"may"
"1301","blue-collar","basic.6y",39,"thu",4.855,"married",5191,"may"
"1304","admin.","university.degree",30,"thu",4.855,"divorced",5191,"may"
"1306","management","university.degree",39,"thu",4.855,"married",5191,"may"
"1311","technician","university.degree",37,"thu",4.855,"single",5191,"may"
"1321","blue-collar","basic.4y",37,"thu",4.855,"married",5191,"may"
"1325","technician","university.degree",43,"thu",4.855,"married",5191,"may"
"1338","blue-collar","professional.course",37,"thu",4.855,"married",5191,"may"
"1339","admin.","university.degree",37,"thu",4.855,"divorced",5191,"may"
"1354","entrepreneur","high.school",20,"thu",4.855,"single",5191,"may"
"1356","management","unknown",28,"thu",4.855,"single",5191,"may"
"1362","blue-collar","basic.9y",27,"thu",4.855,"married",5191,"may"
"1367","blue-collar","basic.9y",36,"thu",4.855,"married",5191,"may"
"1380","admin.","high.school",48,"thu",4.855,"married",5191,"may"
"1381","blue-collar","basic.4y",38,"thu",4.855,"single",5191,"may"
"1383","admin.","high.school",45,"thu",4.855,"married",5191,"may"
"1384","technician","professional.course",35,"thu",4.855,"married",5191,"may"
"1388","blue-collar","basic.4y",45,"thu",4.855,"married",5191,"may"
"1401","blue-collar","basic.4y",44,"thu",4.855,"married",5191,"may"
"1404","technician","professional.course",59,"thu",4.855,"married",5191,"may"
"1415","housemaid","university.degree",36,"thu",4.855,"divorced",5191,"may"
"1422","blue-collar","basic.9y",50,"thu",4.855,"single",5191,"may"
"1427","blue-collar","basic.6y",46,"thu",4.855,"divorced",5191,"may"
"1429","blue-collar","basic.4y",43,"thu",4.855,"divorced",5191,"may"
"1450","technician","professional.course",50,"thu",4.855,"married",5191,"may"
"1451","management","university.degree",32,"thu",4.855,"single",5191,"may"
"1456","blue-collar","basic.9y",54,"thu",4.855,"married",5191,"may"
"1460","admin.","high.school",32,"thu",4.855,"divorced",5191,"may"
"1479","entrepreneur","basic.9y",40,"thu",4.855,"married",5191,"may"
"1483","services","basic.6y",57,"thu",4.855,"married",5191,"may"
"1486","services","high.school",30,"thu",4.855,"divorced",5191,"may"
"1494","services","high.school",33,"thu",4.855,"unknown",5191,"may"
"1495","technician","professional.course",32,"thu",4.855,"married",5191,"may"
"1499","services","high.school",36,"thu",4.855,"married",5191,"may"
"1500","blue-collar","basic.6y",38,"thu",4.855,"married",5191,"may"
"1502","services","high.school",41,"thu",4.855,"divorced",5191,"may"
"1504","blue-collar","basic.9y",44,"thu",4.855,"single",5191,"may"
"1507","technician","professional.course",30,"thu",4.855,"married",5191,"may"
"1520","services","high.school",36,"thu",4.855,"married",5191,"may"
"1537","blue-collar","professional.course",34,"thu",4.855,"divorced",5191,"may"
"1538","services","high.school",39,"thu",4.855,"divorced",5191,"may"
"1546","entrepreneur","university.degree",56,"thu",4.855,"married",5191,"may"
"1552","self-employed","university.degree",51,"thu",4.855,"married",5191,"may"
"1565","management","basic.6y",34,"thu",4.855,"divorced",5191,"may"
"1566","admin.","high.school",36,"thu",4.855,"married",5191,"may"
"1576","housemaid","university.degree",52,"thu",4.855,"married",5191,"may"
"1578","technician","basic.9y",54,"thu",4.855,"married",5191,"may"
"1579","admin.","university.degree",29,"thu",4.855,"single",5191,"may"
"1580","blue-collar","basic.9y",32,"fri",4.855,"married",5191,"may"
"1582","admin.","high.school",30,"fri",4.855,"married",5191,"may"
"1602","unemployed","high.school",39,"fri",4.855,"married",5191,"may"
"1603","unemployed","high.school",39,"fri",4.855,"married",5191,"may"
"1607","technician","basic.9y",37,"fri",4.855,"married",5191,"may"
"1624","management","university.degree",33,"fri",4.855,"married",5191,"may"
"1628","services","basic.6y",36,"fri",4.855,"married",5191,"may"
"1630","technician","professional.course",37,"fri",4.855,"single",5191,"may"
"1635","blue-collar","basic.9y",30,"fri",4.855,"married",5191,"may"
"1650","unemployed","high.school",47,"fri",4.855,"married",5191,"may"
"1652","blue-collar","basic.4y",31,"fri",4.855,"married",5191,"may"
"1653","services","high.school",25,"fri",4.855,"divorced",5191,"may"
"1656","blue-collar","professional.course",35,"fri",4.855,"married",5191,"may"
"1659","blue-collar","basic.4y",31,"fri",4.855,"married",5191,"may"
"1669","admin.","basic.9y",45,"fri",4.855,"married",5191,"may"
"1671","unemployed","professional.course",49,"fri",4.855,"single",5191,"may"
"1675","services","high.school",27,"fri",4.855,"single",5191,"may"
"1691","technician","professional.course",31,"fri",4.855,"married",5191,"may"
"1707","management","university.degree",39,"fri",4.855,"single",5191,"may"
"1709","services","high.school",56,"fri",4.855,"married",5191,"may"
"1712","technician","professional.course",31,"fri",4.855,"married",5191,"may"
"1714","blue-collar","basic.6y",39,"fri",4.855,"married",5191,"may"
"1716","unemployed","high.school",45,"fri",4.855,"married",5191,"may"
"1717","blue-collar","high.school",32,"fri",4.855,"married",5191,"may"
"1721","services","basic.9y",28,"fri",4.855,"single",5191,"may"
"1723","services","high.school",50,"fri",4.855,"single",5191,"may"
"1725","services","high.school",24,"fri",4.855,"single",5191,"may"
"1730","services","high.school",24,"fri",4.855,"single",5191,"may"
"1740","technician","professional.course",37,"fri",4.855,"married",5191,"may"
"1745","admin.","high.school",37,"fri",4.855,"married",5191,"may"
"1754","admin.","university.degree",41,"fri",4.855,"single",5191,"may"
"1755","blue-collar","basic.4y",46,"fri",4.855,"married",5191,"may"
"1762","management","basic.4y",53,"fri",4.855,"married",5191,"may"
"1769","entrepreneur","high.school",49,"fri",4.855,"married",5191,"may"
"1777","technician","professional.course",60,"fri",4.855,"divorced",5191,"may"
"1779","housemaid","high.school",40,"fri",4.855,"divorced",5191,"may"
"1789","housemaid","basic.4y",37,"fri",4.855,"married",5191,"may"
"1794","blue-collar","basic.4y",43,"fri",4.855,"married",5191,"may"
"1796","admin.","university.degree",52,"fri",4.855,"married",5191,"may"
"1798","admin.","university.degree",32,"fri",4.855,"single",5191,"may"
"1801","blue-collar","basic.9y",31,"fri",4.855,"married",5191,"may"
"1802","technician","professional.course",51,"fri",4.855,"married",5191,"may"
"1804","admin.","high.school",32,"fri",4.855,"married",5191,"may"
"1811","blue-collar","basic.9y",34,"fri",4.855,"married",5191,"may"
"1816","blue-collar","basic.4y",50,"fri",4.855,"married",5191,"may"
"1824","admin.","high.school",27,"fri",4.855,"single",5191,"may"
"1825","management","university.degree",29,"fri",4.855,"single",5191,"may"
"1826","admin.","university.degree",53,"fri",4.855,"married",5191,"may"
"1828","management","university.degree",29,"fri",4.855,"single",5191,"may"
"1837","management","university.degree",60,"fri",4.855,"married",5191,"may"
"1845","management","unknown",43,"fri",4.855,"married",5191,"may"
"1846","blue-collar","basic.6y",40,"fri",4.855,"married",5191,"may"
"1854","admin.","university.degree",56,"fri",4.855,"married",5191,"may"
"1856","entrepreneur","university.degree",37,"fri",4.855,"single",5191,"may"
"1857","technician","professional.course",43,"fri",4.855,"single",5191,"may"
"1877","admin.","university.degree",33,"fri",4.855,"divorced",5191,"may"
"1885","blue-collar","basic.9y",42,"fri",4.855,"married",5191,"may"
"1887","management","professional.course",52,"fri",4.855,"married",5191,"may"
"1898","services","high.school",56,"fri",4.855,"married",5191,"may"
"1900","admin.","high.school",33,"fri",4.855,"married",5191,"may"
"1902","retired","basic.4y",50,"fri",4.855,"married",5191,"may"
"1907","admin.","basic.9y",34,"fri",4.855,"single",5191,"may"
"1910","housemaid","high.school",50,"fri",4.855,"divorced",5191,"may"
"1925","blue-collar","basic.6y",34,"fri",4.855,"married",5191,"may"
"1926","blue-collar","basic.9y",25,"fri",4.855,"married",5191,"may"
"1937","admin.","basic.9y",48,"fri",4.855,"married",5191,"may"
"1950","blue-collar","unknown",34,"fri",4.855,"married",5191,"may"
"1958","blue-collar","unknown",40,"fri",4.855,"married",5191,"may"
"1959","entrepreneur","university.degree",37,"fri",4.855,"single",5191,"may"
"1960","housemaid","basic.9y",46,"fri",4.855,"married",5191,"may"
"1972","housemaid","basic.6y",38,"fri",4.855,"married",5191,"may"
"1976","management","basic.4y",43,"fri",4.855,"married",5191,"may"
"1980","admin.","high.school",40,"fri",4.855,"married",5191,"may"
"1999","services","high.school",47,"mon",4.857,"divorced",5191,"may"
"2001","self-employed","university.degree",42,"mon",4.857,"married",5191,"may"
"2006","technician","professional.course",53,"mon",4.857,"single",5191,"may"
"2007","blue-collar","unknown",57,"mon",4.857,"married",5191,"may"
"2012","admin.","high.school",37,"mon",4.857,"married",5191,"may"
"2013","blue-collar","basic.6y",44,"mon",4.857,"married",5191,"may"
"2017","blue-collar","basic.9y",50,"mon",4.857,"married",5191,"may"
"2021","admin.","high.school",55,"mon",4.857,"married",5191,"may"
"2026","admin.","basic.6y",35,"mon",4.857,"single",5191,"may"
"2033","housemaid","university.degree",39,"mon",4.857,"married",5191,"may"
"2034","technician","professional.course",40,"mon",4.857,"married",5191,"may"
"2042","management","high.school",49,"mon",4.857,"divorced",5191,"may"
"2044","blue-collar","professional.course",44,"mon",4.857,"married",5191,"may"
"2046","blue-collar","basic.4y",59,"mon",4.857,"married",5191,"may"
"2047","unemployed","unknown",36,"mon",4.857,"married",5191,"may"
"2049","entrepreneur","high.school",39,"mon",4.857,"divorced",5191,"may"
"2051","blue-collar","high.school",33,"mon",4.857,"single",5191,"may"
"2053","management","university.degree",33,"mon",4.857,"married",5191,"may"
"2056","admin.","university.degree",35,"mon",4.857,"married",5191,"may"
"2062","blue-collar","basic.4y",34,"mon",4.857,"married",5191,"may"
"2063","blue-collar","basic.4y",51,"mon",4.857,"married",5191,"may"
"2070","self-employed","university.degree",26,"mon",4.857,"married",5191,"may"
"2071","blue-collar","high.school",25,"mon",4.857,"married",5191,"may"
"2075","blue-collar","basic.4y",31,"mon",4.857,"married",5191,"may"
"2078","technician","university.degree",36,"mon",4.857,"married",5191,"may"
"2087","management","university.degree",42,"mon",4.857,"married",5191,"may"
"2090","blue-collar","professional.course",44,"mon",4.857,"married",5191,"may"
"2100","unemployed","high.school",48,"mon",4.857,"married",5191,"may"
"2102","admin.","university.degree",41,"mon",4.857,"married",5191,"may"
"2106","admin.","high.school",27,"mon",4.857,"single",5191,"may"
"2107","blue-collar","basic.9y",27,"mon",4.857,"married",5191,"may"
"2112","admin.","university.degree",34,"mon",4.857,"single",5191,"may"
"2114","blue-collar","basic.9y",36,"mon",4.857,"single",5191,"may"
"2123","blue-collar","basic.4y",45,"mon",4.857,"married",5191,"may"
"2125","blue-collar","basic.9y",30,"mon",4.857,"single",5191,"may"
"2128","retired","high.school",57,"mon",4.857,"single",5191,"may"
"2140","blue-collar","basic.9y",30,"mon",4.857,"single",5191,"may"
"2141","blue-collar","basic.4y",37,"mon",4.857,"divorced",5191,"may"
"2151","admin.","university.degree",47,"mon",4.857,"divorced",5191,"may"
"2153","self-employed","university.degree",37,"mon",4.857,"divorced",5191,"may"
